Dato,Stand,Kilde
07/25/2021,7502,TSSL
07/24/2021,7501,TSSL
07/23/2021,7499,TSSL
07/22/2021,7498,TSSL
07/21/2021,7497,TSSL
07/20/2021,7496,TSSL
07/19/2021,7495,TSSL
07/18/2021,7494,TSSL
07/17/2021,7493,TSSL
07/16/2021,7492,TSSL
07/15/2021,7490,TSSL
07/14/2021,7488,TSSL
07/13/2021,7486,TSSL
07/12/2021,7484,TSSL
07/11/2021,7483,TSSL
07/10/2021,7481,TSSL
07/09/2021,7479,TSSL
07/08/2021,7477,TSSL
07/07/2021,7475,TSSL
07/06/2021,7472,TSSL
07/05/2021,7470,TSSL
07/04/2021,7467,TSSL
07/03/2021,7465,TSSL
07/02/2021,7462,TSSL
07/01/2021,7460,TSSL
06/30/2021,7458,TSSL
06/29/2021,7456,TSSL
06/28/2021,7454,TSSL
06/27/2021,7452,TSSL
06/26/2021,7449,TSSL
06/25/2021,7447,TSSL
06/24/2021,7445,TSSL
06/23/2021,7444,TSSL
06/22/2021,7443,TSSL
06/21/2021,7442,TSSL
06/20/2021,7441,TSSL
06/19/2021,7440,TSSL
06/18/2021,7437,TSSL
06/17/2021,7435,TSSL
06/16/2021,7433,TSSL
06/15/2021,7432,TSSL
06/14/2021,7430,TSSL
06/13/2021,7428,TSSL
06/12/2021,7426,TSSL
06/11/2021,7424,TSSL
06/10/2021,7422,TSSL
06/09/2021,7419,TSSL
06/08/2021,7417,TSSL
06/07/2021,7414,TSSL
06/06/2021,7412,TSSL
06/05/2021,7409,TSSL
06/04/2021,7406,TSSL
06/03/2021,7403,TSSL
06/02/2021,7399,TSSL
06/01/2021,7397,TSSL
05/31/2021,7393,TSSL
05/30/2021,7390,TSSL
05/29/2021,7387,TSSL
05/28/2021,7384,TSSL
05/27/2021,7382,TSSL
05/26/2021,7381,TSSL
05/25/2021,7380,TSSL
05/24/2021,7377,TSSL
05/23/2021,7376,TSSL
05/22/2021,7375,TSSL
05/21/2021,7372,TSSL
05/20/2021,7371,TSSL
05/19/2021,7369,TSSL
05/18/2021,7367,TSSL
05/17/2021,7363,TSSL
05/16/2021,7359,TSSL
05/15/2021,7356,TSSL
05/14/2021,7352,TSSL
05/13/2021,7349,TSSL
05/12/2021,7346,TSSL
05/11/2021,7342,TSSL
05/10/2021,7337,TSSL
05/09/2021,7331,TSSL
05/08/2021,7330,TSSL
05/07/2021,7329,TSSL
05/06/2021,7329,TSSL
05/05/2021,7329,TSSL
05/04/2021,7329,TSSL
05/03/2021,7328,TSSL
05/02/2021,7327,TSSL
05/01/2021,7327,TSSL
04/30/2021,7326,TSSL
04/29/2021,7326,TSSL
04/28/2021,7325,TSSL
04/27/2021,7325,TSSL
04/26/2021,7325,TSSL
04/25/2021,7325,TSSL
04/24/2021,7325,TSSL
04/23/2021,7324,TSSL
04/22/2021,7324,TSSL
04/21/2021,7324,TSSL
04/20/2021,7322,TSSL
04/19/2021,7320,TSSL
04/18/2021,7318,TSSL
04/17/2021,7317,TSSL
04/16/2021,7316,TSSL
04/15/2021,7315,TSSL
04/14/2021,7315,TSSL
04/13/2021,7315,TSSL
04/12/2021,7315,TSSL
04/11/2021,7315,TSSL
04/10/2021,7314,TSSL
04/09/2021,7309,TSSL
04/08/2021,7309,TSSL
04/07/2021,7308,TSSL
04/06/2021,7304,TSSL
04/05/2021,7304,TSSL
04/04/2021,7295,TSSL
04/03/2021,7288,TSSL
04/02/2021,7287,TSSL
04/01/2021,7287,TSSL
03/31/2021,7285,TSSL
03/30/2021,7282,TSSL
03/29/2021,7279,TSSL
03/28/2021,7274,TSSL
